strain1	strain2	angle_difference
140063	140884	0.0355286903847
140063	140472	0.0340060906484
140063	140334	0.0296901565766
140063	140072	0.0559810957777
140063	140888	0.11322263439
140063	140339	0.0844362991511
140063	140095	0.146369858541
140063	140500	0.111825892278
140063	140479	0.153143584419
140063	140502	0.0727537629522
140063	140763	0.105780371082
140063	140276	0.0460555339328
140063	140585	0.0453916437953
140063	140099	0.0632379361331
140063	140827	0.0732805065774
140063	140628	0.0511496228736
140063	140270	0.0414530228716
140063	140437	0.0880531925363
140063	140452	0.0858288366042
140063	140707	0.0590294269564
140063	140982	0.0505827804402
140063	140983	0.0598306471995
140063	140193	0.0227875513662
140063	140054	0.127757804944
140063	140278	0.038534551302
140063	140547	0.054068742639
140060	140610	0.105938071873
140060	140261	0.128879806654
140060	140801	0.106414249838
140060	140706	0.0847931542656
140060	140849	0.0162832577227
140060	140627	0.0452250897002
140060	140807	0.0362675153297
140060	140382	0.041269207774
140060	140380	0.0530878307694
140060	140063	0.0351347285068
140060	140060	0
140060	140281	0.0491647422538
140060	140389	0.067426559324
140060	140324	0.099620117191
140060	140670	0.116077170139
140060	140190	0.0591769396347
140060	140992	0.0100294185364
140060	140322	0.0761371820499
140060	140536	0.020473740045
140060	140511	0.0641075442741
140060	140626	0.0469199063569
140060	140517	0.0198324750895
140060	140674	0.135952324603
140060	140449	0.0282393449403
140060	140619	0.0601530424874
140060	140957	0.0821789406371
140060	140263	0.0357652830692
140060	140639	0.0704707590249
140060	140247	0.0557448537698
140060	140080	0.116131191396
140060	140817	0.0565652288025
140060	140958	0.101744206955
140060	140304	0.083433593873
140060	140086	0.101836596483
140060	140065	0.0206921948197
140060	140872	0.0735552984231
140060	140071	0.0165464429924
140060	140853	0.050802010759
140060	140851	0.0905807962325
140060	140970	0.148818239816
140060	140465	0.13377666396
140060	140798	0.0625894032799
140060	140848	0.0810963279185
140060	140197	0.069409645864
140060	140861	0.0841003864846
140060	140259	0.183563656012
140060	140037	0.0335507400871
140060	140156	0.0337783018528
140060	140048	0.0292247919011
140060	140607	0.0597615424793
140060	140660	0.0304291682016
140060	140605	0.194876682906
140060	140451	0.0167152455404
140060	140884	0.0155094752723
140060	140472	0.0201998543998
140060	140334	0.0366625598002
140060	140072	0.0702680608918
140060	140888	0.129862729639
140060	140339	0.0734224803427
140060	140095	0.13105640692
140060	140500	0.11604377714
140060	140479	0.123022631335
140060	140502	0.0573725036773
140060	140763	0.0835915259855
140060	140276	0.0183164954299
140060	140585	0.0628224357288
140060	140099	0.048250820104
140060	140827	0.0611181043218
140060	140628	0.0171943768238
140060	140270	0.0282010074428
140060	140437	0.0737553141433
140060	140452	0.0612551629908
140060	140707	0.0717860404824
140060	140982	0.0637144583975
140060	140983	0.0540965071064
140060	140193	0.0308233857849
140060	140054	0.129171098989
140060	140278	0.0368319521152
140060	140547	0.0676683668398
140389	140610	0.0990839043358
140389	140261	0.0786799214071
